Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,C,criterion,max_depth,max_iter,min_samples_leaf,n_estimators,penalty,solver,splitter,accuracy,test_accuracy,Model,Train Data,Best
2025-03-22 17:46:12,1.4s,1cb5705ebe93472fa87afe09a84bd916,puzzled-lamb-372,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,venkatachalamsubramanianperiyasubbu,FINISHED,,entropy,3,,3,20,,,,0.9545454545454546,,random-forest,worst-data-70-30,
2025-03-22 17:45:59,1.4s,6b3e923c62ed4f07b1779cf6954d5670,secretive-slug-351,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,venkatachalamsubramanianperiyasubbu,FINISHED,,entropy,2,,3,20,,,,0.9545454545454546,,random-forest,worst-data-70-30,
2025-03-22 17:45:56,1.4s,62870e83b1bd48b0b71b90a434aa048a,sneaky-kit-778,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,venkatachalamsubramanianperiyasubbu,FINISHED,,entropy,2,,2,30,,,,0.9545454545454546,,random-forest,worst-data-70-30,
2025-03-22 17:45:30,1.4s,27be973a8fdb45edbbaef2bf91da661b,gaudy-rat-768,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,venkatachalamsubramanianperiyasubbu,FINISHED,,gini,3,,2,30,,,,0.9545454545454546,,random-forest,worst-data-70-30,
2025-03-22 17:41:18,1.4s,2ed10964aab04845b1182594263a3910,brawny-toad-233,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,venkatachalamsubramanianperiyasubbu,FINISHED,,log_loss,4,,2,,,,random,0.9545454545454546,,decision-tree,worst-data-70-30,
2025-03-22 17:41:13,1.4s,bb7ee740c90642b9a2da422f4a5b0e76,unruly-elk-779,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,venkatachalamsubramanianperiyasubbu,FINISHED,,log_loss,3,,2,,,,random,0.9545454545454546,,decision-tree,worst-data-70-30,
2025-03-22 17:41:08,1.4s,b74c53eac3994001bdba92aefcb9a3cf,gifted-mouse-492,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,venkatachalamsubramanianperiyasubbu,FINISHED,,log_loss,4,,4,,,,best,0.9545454545454546,,decision-tree,worst-data-70-30,
2025-03-22 17:41:06,1.4s,91a90174e472488bb3e64c88a2c3663e,rumbling-ape-360,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,venkatachalamsubramanianperiyasubbu,FINISHED,,log_loss,4,,3,,,,best,0.9545454545454546,,decision-tree,worst-data-70-30,
2025-03-22 17:41:05,1.4s,585b6fb8035649f2b03fc61557b1e3e5,aged-squirrel-156,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,venkatachalamsubramanianperiyasubbu,FINISHED,,log_loss,4,,2,,,,best,0.9545454545454546,,decision-tree,worst-data-70-30,
2025-03-22 17:41:04,1.4s,bac21e135dc24b6ba42faa863aa47034,omniscient-ant-257,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,venkatachalamsubramanianperiyasubbu,FINISHED,,log_loss,3,,4,,,,best,0.9545454545454546,,decision-tree,worst-data-70-30,
2025-03-22 17:41:02,1.4s,876abef33a814c06acb538ace7a42dde,shivering-quail-246,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,venkatachalamsubramanianperiyasubbu,FINISHED,,log_loss,3,,3,,,,best,0.9545454545454546,,decision-tree,worst-data-70-30,
2025-03-22 17:41:01,1.4s,3c7a00a96bcb4416a11e8a5eb493a9e9,smiling-crane-765,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,venkatachalamsubramanianperiyasubbu,FINISHED,,log_loss,3,,2,,,,best,0.9545454545454546,,decision-tree,worst-data-70-30,
2025-03-22 17:40:54,1.4s,e02f805d0fc440bc813c8bd6ce3ad276,popular-bass-781,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,venkatachalamsubramanianperiyasubbu,FINISHED,,entropy,4,,3,,,,random,0.9545454545454546,,decision-tree,worst-data-70-30,
2025-03-22 17:40:48,1.4s,9eb1821c847b43a1bc459b6a1d9236ee,nervous-hare-329,LOCAL,/opt/homebrew/anaconda3/envs/mlops/lib/python3.12/site-packages/ipykernel_launcher.py,venkatachalamsubramanianperiyasubbu,FINISHED,,entropy,3,,2,,,,random,0.9545454545454546,,decision-tree,worst-data-70-30,
